transaction_id,timestamp,amount,transaction_type,sender_account_age_days,receiver_account_age_days,sender_tx_count_24h,receiver_unique_senders_24h,device_changed,location_changed,failed_login_attempts,is_fraud
TXN_300754,2024-01-30T15:26:00Z,2775.28,IMPS,1608,620,2,6,False,False,0,0
TXN_302311,2024-05-31T16:38:00Z,16011.57,UPI,2409,505,7,4,False,False,1,0
TXN_301304,2024-03-15T19:11:00Z,6711.6,RTGS,1533,2207,2,5,False,False,0,0
TXN_300587,2024-02-22T06:51:00Z,12678.21,UPI,2269,1569,1,5,False,False,1,0
TXN_302250,2024-06-16T14:28:00Z,7600.92,RTGS,332,1676,7,8,False,True,0,0
TXN_300322,2024-04-13T13:37:00Z,9564.44,RTGS,958,3517,5,6,False,False,1,0
TXN_301344,2024-10-26T09:17:00Z,12533.06,IMPS,2891,3621,1,6,False,False,0,0
TXN_300663,2024-09-28T13:21:00Z,8738.02,RTGS,1744,3322,6,5,False,False,0,0
TXN_301064,2024-01-08T18:21:00Z,8441.47,RTGS,3366,649,4,5,False,False,1,0
TXN_302151,2024-09-07T13:35:00Z,5719.77,UPI,821,2439,1,9,False,False,0,0
TXN_302558,2024-01-17T09:55:00Z,15644.59,IMPS,1414,394,2,1,False,False,1,0
TXN_301247,2024-10-31T10:26:00Z,2606.79,NEFT,1477,3306,3,4,False,False,0,0
TXN_301215,2024-01-28T22:40:00Z,5359.63,RTGS,798,3525,5,5,False,False,1,0
TXN_301080,2024-03-14T18:43:00Z,4881.19,UPI,3610,3076,4,5,False,False,1,0
TXN_301452,2024-03-14T21:43:00Z,5717.15,RTGS,3465,3541,5,8,False,False,0,0
TXN_302686,2024-03-30T15:11:00Z,5728.37,NEFT,3120,2487,2,8,False,False,0,0
TXN_300085,2024-10-31T15:02:00Z,762.06,RTGS,1756,1514,4,7,True,False,0,0
TXN_300049,2024-08-31T15:58:00Z,1203.67,NEFT,3137,2153,0,5,False,False,1,0
TXN_300565,2024-07-18T20:25:00Z,3066.52,UPI,445,1631,4,2,False,False,0,0
TXN_301275,2024-01-07T17:23:00Z,19151.64,NEFT,1393,2954,2,8,False,False,1,0
TXN_300177,2024-12-22T12:25:00Z,15626.95,RTGS,919,3426,2,9,False,False,1,0
TXN_300472,2024-09-20T21:17:00Z,10782.69,NEFT,3181,1363,6,1,False,False,1,0
TXN_300990,2024-10-23T06:57:00Z,6943.91,NEFT,1042,362,2,2,True,True,1,0
TXN_302200,2024-10-06T14:47:00Z,1656.58,RTGS,3276,488,4,7,False,False,1,0
TXN_302416,2024-10-25T06:45:00Z,27500.57,UPI,1358,1910,6,8,False,False,1,0
TXN_301434,2024-07-26T17:51:00Z,1290.27,IMPS,2072,3073,2,4,False,False,1,0
TXN_301828,2024-12-12T16:45:00Z,20610.85,IMPS,1491,2072,5,3,False,False,1,0
TXN_302462,2024-07-21T13:41:00Z,4811.48,RTGS,1517,582,2,6,False,False,0,0
TXN_301661,2024-07-01T12:48:00Z,12111.23,IMPS,2610,1467,7,4,False,False,1,0
TXN_300354,2024-10-01T20:23:00Z,29163.74,RTGS,501,453,4,7,False,False,0,0
TXN_301879,2024-06-06T07:13:00Z,4715.94,IMPS,3263,1869,0,4,False,False,1,0
TXN_302183,2024-05-03T20:11:00Z,4412.79,NEFT,2369,3515,1,2,True,False,0,0
TXN_301570,2024-02-08T20:36:00Z,1121.78,NEFT,2344,3545,7,6,False,False,0,0
TXN_301868,2024-04-09T07:49:00Z,19588.62,UPI,1462,1067,2,1,False,False,0,0
TXN_302243,2024-06-08T11:45:00Z,7036.02,RTGS,3063,769,4,3,False,False,1,0
TXN_300790,2024-02-08T19:18:00Z,34302.75,IMPS,1750,1834,1,5,False,False,0,0
TXN_300759,2024-12-13T17:24:00Z,2603.91,RTGS,3539,2238,2,2,False,False,1,0
TXN_300885,2024-08-12T17:57:00Z,3588.01,IMPS,2070,1784,2,7,False,False,1,0
TXN_300969,2024-04-20T10:55:00Z,976.53,IMPS,591,1400,2,3,False,False,1,0
TXN_301975,2024-11-27T18:59:00Z,3792.55,NEFT,2268,423,6,6,False,False,1,0
TXN_300463,2024-03-08T10:20:00Z,19701.85,NEFT,2378,309,2,3,False,True,1,0
TXN_300175,2024-02-03T07:54:00Z,50375.15,RTGS,1443,2575,1,7,False,False,1,0
TXN_302057,2024-09-09T14:53:00Z,14386.67,IMPS,692,145,2,5,False,True,1,0
TXN_302223,2024-02-17T10:06:00Z,3151.71,RTGS,207,2573,7,2,False,False,1,0
TXN_301671,2024-07-14T07:08:00Z,635.35,UPI,3348,3365,4,9,False,False,1,0
TXN_302134,2024-10-07T09:08:00Z,2573.57,RTGS,1339,2933,7,7,False,False,0,0
TXN_300743,2024-10-28T18:07:00Z,4503.63,NEFT,3586,968,2,2,False,False,0,0
TXN_301489,2024-05-15T19:30:00Z,8123.03,RTGS,1013,296,7,5,False,False,0,0
TXN_301265,2024-02-13T13:10:00Z,5052.03,IMPS,1847,1582,7,1,False,False,1,0
TXN_300305,2024-05-13T14:56:00Z,5039.05,UPI,3613,3070,6,3,False,False,0,0
TXN_300938,2024-12-28T12:18:00Z,4510.99,IMPS,594,2890,2,8,False,False,0,0
TXN_301469,2024-04-25T18:48:00Z,1480.97,UPI,2537,2322,2,6,False,True,0,0
TXN_301246,2024-06-15T10:00:00Z,7588.71,RTGS,2679,3139,0,1,False,False,0,0
TXN_300607,2024-06-13T10:17:00Z,61496.51,NEFT,3642,835,5,7,False,False,1,0
